ISIN,TICKER,등급,섹터,Credit_Delta_$per bp,sigma_bp_3Y,sigma출처,실제스프레드리스크_1시그마_$,실제스프레드리스크_95%VaR_$,실제스프레드리스크_99%VaR_$
US65535HCB33,NOMURA,BBB+,금융,-350.3559470850001,1.427,individual_cache,-500.0,-822.0,-1165.0
US65535HCK32,NOMURA,BBB+,금융,-271.5119013,5.152,individual_cache,-1399.0,-2301.0,-3259.0
US780097BL47,NWG,BBB+,금융,-1272.441891,2.662,individual_cache,-3387.0,-5572.0,-7892.0
US91282CGT27,T,AA+,비금융,-161.6784864,1.539,individual_cache,-249.0,-409.0,-580.0
US91282CJZ59,T,AA+,비금융,-7061.9702178550015,0.337,individual_cache,-2380.0,-3915.0,-5545.0
US91282CKQ32,T,AA+,비금융,-1290.9374,0.31,individual_cache,-400.0,-658.0,-932.0
US91282CLR06,T,AA+,비금융,-904.7881795500001,0.91,individual_cache,-823.0,-1354.0,-1918.0
US91282CNC19,T,AA+,비금융,-10581.241394249999,0.251,individual_cache,-2656.0,-4369.0,-6188.0
US95000U3P60,WFC,BBB+,금융,-1568.5718175000002,2.391,individual_cache,-3750.0,-6169.0,-8739.0
US95000U3P60,WFC,BBB+,금융,-1568.5718175000002,2.391,individual_cache,-3750.0,-6169.0,-8739.0
US95000U3T82,WFC,A,금융,-835.117025,2.781,individual_cache,-2322.0,-3820.0,-5411.0
USG84228FL77,STANLN,A-,금융,-389.09599344000003,2.71,individual_cache,-1054.0,-1735.0,-2457.0
USG84228FY98,STANLN,A-,금융,-169.79520558000002,2.403,individual_cache,-408.0,-671.0,-951.0
USH42097EV54,UBS,A,금융,-2334.0097665999997,3.178,individual_cache,-7417.0,-12202.0,-17283.0
USJ5901UAH52,NORBK,BBB+,금융,-137.511741192,1.466,individual_cache,-202.0,-332.0,-470.0
USJ5903AAA28,NORBK,A-,금융,-58.81016832,2.089,individual_cache,-123.0,-202.0,-286.0
USJ5S39RAM64,NTT,A,비금융,-547.36188864,1.981,individual_cache,-1084.0,-1784.0,-2526.0
USJ5S39RAU80,NTT,A,비금융,-987.65870916,1.656,individual_cache,-1636.0,-2691.0,-3811.0
USJ7771YTM95,SUMITR,A-,금융,-284.90092697,1.855,individual_cache,-528.0,-869.0,-1231.0
USY29011DG83,GSCCOR,BBB,비금융,-944.4376399500001,2.659,individual_cache,-2511.0,-4131.0,-5851.0
USY5S5CGAR36,LGENSO,BBB+,비금융,-1970.7631069500003,2.694,individual_cache,-5309.0,-8734.0,-12371.0
USY5S5CGAR36,LGENSO,BBB+,비금융,-656.92103565,2.694,individual_cache,-1770.0,-2911.0,-4124.0
USY5S5CGAV48,LGENSO,BBB,비금융,-3529.758114,2.263,individual_cache,-7988.0,-13140.0,-18612.0
USY5S5CGAV48,LGENSO,BBB,비금융,-1411.9032455999998,2.263,individual_cache,-3195.0,-5256.0,-7445.0
USY70750CB13,PKX,BBB+,비금융,-1009.380795,3.633,individual_cache,-3667.0,-6032.0,-8544.0
USY7S272AL69,POHANG,BBB+,비금융,-75.65750023199999,1.941,individual_cache,-147.0,-242.0,-342.0
USY7S272AM43,POHANG,BBB+,비금융,-137.009954816,1.512,individual_cache,-207.0,-341.0,-483.0
USY7S272AM43,POHANG,BBB+,비금융,-3425.2488704,1.512,individual_cache,-5179.0,-8519.0,-12067.0
USY7S272AM43,POHANG,BBB+,비금융,-1370.0995481599998,1.512,individual_cache,-2072.0,-3408.0,-4827.0
USY7S272AM43,POHANG,BBB+,비금융,-2055.14932224,1.512,individual_cache,-3107.0,-5112.0,-7240.0
USY7S272AM43,POHANG,BBB+,비금융,-1370.0995481599998,1.512,individual_cache,-2072.0,-3408.0,-4827.0
USY8085FBL32,HYUELE,BBB-,비금융,-2733.499998,5.257,individual_cache,-14370.0,-23639.0,-33482.0
USY8085FBL32,HYUELE,BBB-,비금융,-2186.7999984,5.257,individual_cache,-11496.0,-18911.0,-26786.0
USY8085FBY52,HYUELE,BBB+,비금융,-39.47215748,2.283,individual_cache,-90.0,-148.0,-210.0
XS2395327641,CACIB,AA-,금융,-23.043355000000002,2.714,individual_cache,-63.0,-103.0,-146.0
XS2559683359,CACIB,AA-,금융,-5.545551,2.714,individual_cache,-15.0,-25.0,-35.0
XS2703610050,DFHOLD,BBB,금융,-63.83362524,2.618,individual_cache,-167.0,-275.0,-389.0
XS2703610050,DFHOLD,BBB,금융,-750.0450965699998,2.618,individual_cache,-1964.0,-3230.0,-4575.0
XS2703610050,DFHOLD,BBB,금융,-95.75043785999998,2.618,individual_cache,-251.0,-412.0,-584.0
XS2703610050,DFHOLD,BBB,금융,-127.66725048,2.618,individual_cache,-334.0,-550.0,-779.0
XS2739009939,DAESEC,BBB,금융,-103.08019037999999,2.618,individual_cache,-270.0,-444.0,-629.0
XS2739009939,DAESEC,BBB,금융,-31.336377875519993,2.618,individual_cache,-82.0,-135.0,-191.0
XS2739009939,DAESEC,BBB,금융,-14.998167700289999,2.618,individual_cache,-39.0,-65.0,-91.0
XS2739009939,DAESEC,BBB,금융,-10.308019038,2.618,individual_cache,-27.0,-44.0,-63.0
XS2747557416,SKBTAM,BBB-,비금융,-20.323446499999996,11.215,individual_cache,-228.0,-375.0,-531.0
XS3017043053,TD,A,금융,-4916.4941847499995,3.559,individual_cache,-17498.0,-28784.0,-40770.0
XS3028206350,GS,A-,금융,-3594.2437,2.55,individual_cache,-9165.0,-15077.0,-21355.0
XS3030377132,WFC,A,금융,-3693.7878119999996,4.242,individual_cache,-15669.0,-25776.0,-36509.0
XS3412558648,DAESEC,BBB,금융,-809.0767680600001,2.328,individual_cache,-1884.0,-3098.0,-4389.0
XS3412558648,DAESEC,BBB,금융,-539.38451204,2.328,individual_cache,-1256.0,-2066.0,-2926.0
XS3412559299,DAESEC,BBB,금융,-1697.90374116,2.618,individual_cache,-4445.0,-7312.0,-10357.0
XS3423950313,NHSECS,A-,금융,-268.54240064000004,2.579,individual_cache,-693.0,-1139.0,-1614.0
KR6065904G23,HYNCRD,BBB+,금융,-20079.1490536,4.058,individual_cache,-81481.0,-134037.0,-189851.0
